CONTENT_LENGTH,URL_LENGTH,CHARACTER_SET,SPECIAL_CHARACTERS,SERVER,URL_IDENTIFICATION,COUNTRY,STATE,REGISTRATION_DATE,UPDATED_DATE,TCP_PACKETS_EXCHANGE,PORTS_DETECTED,REMOTE_IP,BYTES_TRANSFERRED,REMOTE_APP_PACKETS,SOURCE_APP_PACKETS,REMOTE_APP_BYTES,SOURCE_APP_BYTES,IP_PACKETS,DNS_PACKETS,WEBSITE_TYPE
NaN,32,UTF-8,8,Server,M0_1175,America,WA,05-Jan-96,05-May-16,0,0,0,0,0,0,0,0,0,0,0
34,32,ISO-8859-1,6,NaN,M0_1181,America,Missouri,09-Jul-08,14-Jul-08,0,0,0,0,0,0,0,0,0,0,0
NaN,32,UTF-8,8,Server,M0_1222,America,WA,05-Jan-96,05-May-16,0,0,0,0,0,0,0,0,0,0,0
420762,32,utf-8,9,KHL,M0_128,NaN,NaN,10-May-06,NaN,17,5,8,1314,26,19,1452,1881,19,2,0
1399,32,ISO-8859-1,8,Apache,M0_1341,America,CA,29-Jul-06,07-Aug-15,0,0,0,0,0,0,0,0,0,0,0
NaN,32,UTF-8,6,Apache,M0_1372,Canada,ab,27-Sep-10,28-Sep-16,0,0,0,0,0,0,0,0,0,0,0
NaN,32,UTF-8,7,nginx,M0_1381,America,NY,31-Oct-08,01-Dec-16,0,0,0,0,0,0,0,0,0,0,0
NaN,32,UTF-8,7,nginx,M0_14,America,CA,03-Mar-00,12-Jan-17,14,10,2,2000,20,20,2498,9588,20,6,0
NaN,32,ISO-8859-1,7,NaN,M0_165,America,CA,29-Mar-97,29-Nov-16,49,42,5,7613,52,61,8497,24774,61,12,0
NaN,32,UTF-8,8,Apache,M0_176,NaN,NaN,02-Apr-08,23-Jan-17,24,0,4,2176,29,28,2456,17335,28,4,0
NaN,32,utf-8,6,NaN,M0_2015,NaN,NaN,22-Feb-96,16-Jan-15,4,3,2,432,5,4,432,310,4,0,0
NaN,33,utf-8,8,nginx/1.10.1 + Phusion Passenger 5.0.30,M0_1350,America,California,21-Feb-95,19-Feb-17,0,0,0,0,0,0,0,0,0,0,0
18302,33,utf-8,9,NaN,M0_1390,America,CA,29-May-96,26-Apr-16,0,0,0,0,0,0,0,0,0,0,0
318,33,iso-8859-1,7,Apache,M0_1419,Japan,Osaka,12-Nov-16,16-Nov-16,0,0,0,0,0,0,0,0,0,0,0
NaN,33,UTF-8,8,Server,M0_163,America,WA,05-Jan-96,05-May-16,52,7,8,3438,51,56,3718,46498,56,4,0
NaN,33,iso-8859-1,7,Apache/1.3.27 (Unix)  (Red-Hat/Linux) mod_perl/1.26 PHP/4.3.3 FrontPage/5.0.2 mod_ssl/2.8.12 OpenSSL/0.9.6b,M0_2100,NaN,NaN,08-Feb-00,31-Oct-16,4,3,2,420,5,4,420,304,4,0,0
NaN,33,utf-8,6,Apache,M0_2126,America,Texas,25-Sep-03,18-Jul-14,7,5,4,606,6,7,606,474,7,0,0
NaN,33,UTF-8,8,mw2114.codfw.wmnet,M0_215,America,CA,13-Jan-01,12-Dec-15,32,11,6,3694,32,40,4286,11543,40,8,0
60722,33,UTF-8,7,GSE,M0_2155,America,CA,31-Jul-00,29-Jun-16,4,2,3,408,6,4,408,382,4,0,0
NaN,33,UTF-8,6,Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 mod_perl/2.0.8 Perl/v5.10.1,M0_2205,America,Arizona,10-May-02,27-Jul-16,8,4,5,660,9,8,660,556,8,0,0
NaN,33,ISO-8859-1,6,Apache/1.3.34 (Unix) PHP/4.4.4,M0_2219,America,FL,07-Jun-05,23-May-16,5,4,2,486,7,5,486,542,5,0,0
NaN,33,UTF-8,8,Server,M0_2289,America,WA,05-Jan-96,05-May-16,10,4,4,816,6,10,816,476,10,0,0
39,33,UTF-8,6,Microsoft-IIS/7.5,M0_312,America,AL,19-Aug-12,24-Jun-16,24,1,4,3375,30,28,3703,18396,28,4,0
1371,33,UTF-8,8,Apache/2.2.31 (Amazon),M0_570,Israel,NaN,28-Apr-03,29-Apr-17,19,0,3,2042,27,27,2622,4760,27,8,0
NaN,33,UTF-8,7,Jetty(9.0.z-SNAPSHOT),M0_652,America,NY,12-Mar-99,16-Nov-16,105,98,7,8692,130,111,9172,179133,111,6,0
NaN,33,ISO-8859-1,6,Apache,M0_783,America,CA,22-Apr-97,22-Feb-17,0,0,0,0,0,0,0,0,0,0,0
655,34,UTF-8,11,nginx,A0_130,NaN,NaN,NaN,NaN,27,5,8,2721,27,35,3313,3896,35,8,1
649,34,UTF-8,11,nginx,A0_159,NaN,NaN,NaN,NaN,15,1,5,1632,18,21,2068,2661,21,6,1
NaN,34,ISO-8859-1,9,cloudflare-nginx,A0_166,Russia,Krasnoyarsk,30-Mar-11,28-Apr-17,26,0,3,3569,31,32,4037,10750,32,6,1
214,34,iso-8859-1,9,Apache,A0_180,NaN,NaN,NaN,NaN,9,0,4,850,14,11,990,1382,11,2,1
18298,34,UTF-8,6,nginx/1.12.0,M0_1036,America,MAINE,14-Jan-08,14-Jan-17,0,0,0,0,0,0,0,0,0,0,0
324,34,us-ascii,7,Microsoft-HTTPAPI/2.0,M0_1054,GB,NaN,26-Mar-00,26-Oct-16,0,0,0,0,0,0,0,0,0,0,0
1819,34,ISO-8859-1,7,NaN,M0_1087,America,CA,02-Nov-02,02-Feb-17,0,0,0,0,0,0,0,0,0,0,0
1819,34,ISO-8859-1,7,NaN,M0_110,America,CA,02-Nov-02,02-Feb-17,33,27,2,5235,40,41,5835,14571,41,8,0
NaN,34,utf-8,8,nginx/1.10.1 + Phusion Passenger 5.0.30,M0_1207,America,California,21-Feb-95,19-Feb-17,0,0,0,0,0,0,0,0,0,0,0
NaN,34,utf-8,6,NaN,M0_1337,America,CA,22-Feb-96,16-Jan-15,0,0,0,0,0,0,0,0,0,0,0
NaN,34,ISO-8859-1,7,Apache/2.2.31 (CentOS),M0_1342,Canada,ALBERTA,10-Apr-10,10-Apr-17,0,0,0,0,0,0,0,0,0,0,0
NaN,34,UTF-8,7,nginx,M0_1382,America,CA,03-Mar-00,12-Jan-17,0,0,0,0,0,0,0,0,0,0,0
6474,34,utf-8,7,Apache/2.4.10 (Debian),M0_2098,America,Virginia,06-May-10,20-Sep-13,6,3,4,552,9,6,552,564,6,0,0
NaN,34,utf-8,7,nginx,M0_2104,Canada,ON,17-Aug-99,21-Apr-17,8,6,5,696,10,8,696,636,8,0,0
NaN,34,utf-8,6,NaN,M0_2124,NaN,NaN,22-Feb-96,16-Jan-15,34,9,9,2412,7,34,2412,442,34,0,0
NaN,34,UTF-8,7,cloudflare-nginx,M0_2125,India,MH,04-Oct-06,04-Oct-16,3,3,1,366,5,3,366,306,3,0,0
1486,34,ISO-8859-1,9,Apache,M0_2142,GB,NaN,09-Mar-07,03-Mar-15,5,3,2,498,5,5,498,306,5,0,0
10892,34,UTF-8,9,Apache/2.4.12 (Ubuntu),M0_2221,NaN,NaN,31-May-96,15-Apr-16,3,3,1,366,4,3,366,244,3,0,0
NaN,34,ISO-8859-1,9,HTTPDaemon,M0_2320,America,WA,05-Jan-96,05-May-16,4,3,2,432,5,4,432,310,4,0,0
7255,34,utf-8,8,Apache/2.2.31 (Amazon),M0_322,NaN,NaN,29-Jul-04,03-Jan-16,17,1,2,1661,26,23,2167,10015,23,6,0
6608,34,UTF-8,7,GSE,M0_460,America,CA,31-Jul-00,29-Jun-16,42,0,3,4895,45,46,5241,39544,46,4,0
NaN,34,utf-8,6,NaN,M0_493,America,CA,22-Feb-96,16-Jan-15,34,25,9,3787,42,42,4365,33677,42,8,0
111,34,ISO-8859-1,9,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4,M0_586,America,California,17-Jan-05,18-Jan-17,21,0,5,2292,24,23,2450,16147,23,2,0
NaN,34,ISO-8859-1,6,Apache,M0_688,America,CA,22-Apr-97,22-Feb-17,24,20,2,4372,33,31,4808,13095,31,6,0
996,34,ISO-8859-1,8,nginx,M0_746,America,CA,01-Jun-05,09-Sep-16,7,0,2,716,10,11,1030,1979,11,4,0
1501,34,ISO-8859-1,7,nginx,M0_760,America,New York,22-Dec-99,24-May-12,23,3,11,2042,29,29,2520,7939,29,6,0
NaN,34,utf-8,7,MediaFire,M0_864,America,Texas,11-Aug-02,04-Jul-16,0,0,0,0,0,0,0,0,0,0,0
NaN,34,ISO-8859-1,7,Apache,M0_897,America,CA,22-Apr-97,22-Feb-17,0,0,0,0,0,0,0,0,0,0,0
324,34,us-ascii,6,Microsoft-IIS/7.5,M0_961,America,Arizona,17-Nov-03,11-Nov-16,0,0,0,0,0,0,0,0,0,0,0
7314,35,ISO-8859-1,9,Apache,A0_107,NaN,NaN,21-Sep-09,09-Aug-16,39,0,3,3240,45,45,3722,35301,45,6,1
7314,35,ISO-8859-1,9,Apache,A0_108,NaN,NaN,21-Sep-09,09-Aug-16,39,0,2,3240,45,45,3722,35301,45,6,1
NaN,35,UTF-8,11,Apache,A0_110,Canada,ON,14-Aug-08,09-Aug-16,18,0,2,2102,21,20,2252,20976,20,2,1
652,35,UTF-8,11,nginx,A0_123,NaN,NaN,NaN,NaN,15,1,5,1635,17,21,2073,2640,21,6,1
652,35,UTF-8,11,nginx,A0_124,NaN,NaN,NaN,NaN,21,1,5,2367,26,29,2957,3801,29,8,1
646,35,UTF-8,9,nginx,A0_127,NaN,NaN,NaN,NaN,12,1,5,1340,12,16,1622,964,16,4,1
652,35,UTF-8,11,nginx,A0_135,NaN,NaN,NaN,NaN,19,1,5,2223,20,25,2661,2868,25,6,1
652,35,UTF-8,11,nginx,A0_137,NaN,NaN,NaN,NaN,18,1,5,2157,22,24,2595,2996,24,6,1
652,35,UTF-8,11,nginx,A0_148,NaN,NaN,NaN,NaN,19,1,5,2223,22,25,2661,2996,25,6,1
652,35,UTF-8,11,nginx,A0_152,NaN,NaN,NaN,NaN,23,1,5,2864,25,31,3454,3773,31,8,1
NaN,35,ISO-8859-1,8,cloudflare-nginx,A0_165,Russia,Krasnoyarsk,22-Aug-10,28-Apr-17,15,1,2,1850,23,21,2302,2970,21,6,1
NaN,35,ISO-8859-1,9,DOSarrest,M0_1029,KY,GRAND CAYMAN,08-Jul-96,07-Mar-17,0,0,0,0,0,0,0,0,0,0,0
4685,35,UTF-8,8,mw2232.codfw.wmnet,M0_1148,America,CA,13-Jan-01,12-Dec-15,0,0,0,0,0,0,0,0,0,0,0
NaN,35,utf-8,8,nginx/1.10.1 + Phusion Passenger 5.0.30,M0_1299,America,California,21-Feb-95,19-Feb-17,0,0,0,0,0,0,0,0,0,0,0
324,35,us-ascii,6,Microsoft-IIS/7.5,M0_144,NaN,NaN,21-Mar-14,22-Mar-17,22,15,8,1527,25,24,1699,1928,24,2,0
NaN,35,UTF-8,8,Server,M0_183,America,WA,05-Jan-96,05-May-16,21,1,4,2435,25,25,2715,39924,25,4,0
324,35,us-ascii,9,Microsoft-HTTPAPI/2.0,M0_194,America,CA,22-Oct-98,16-Mar-17,49,10,6,2961,61,53,3261,38255,53,4,0
39362,35,utf-8,9,nginx,M0_2026,[u'GB'; u'United Kingdom'],UK,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,4,3,2,420,4,4,420,244,4,0,0
NaN,35,utf-8,7,nginx,M0_2067,America,NY,23-Mar-95,03-Mar-17,3,3,1,366,4,3,366,244,3,0,0
NaN,35,UTF-8,9,Apache,M0_2087,America,Arizona,08-Jul-10,24-Apr-17,4,3,2,432,6,4,432,372,4,0,0
NaN,35,utf-8,10,ATS,M0_2144,America,CA,18-Jan-95,26-Aug-15,10,9,4,756,12,10,756,861,10,0,0
14462,35,UTF-8,7,Sucuri/Cloudproxy,M0_2156,Canada,ON,17-Jul-09,07-Jul-16,8,6,6,696,5,8,696,306,8,0,0
NaN,35,UTF-8,9,Apache,M0_2270,NaN,NaN,NaN,NaN,4,4,2,432,6,4,432,372,4,0,0
NaN,35,UTF-8,8,Server,M0_2295,America,WA,05-Jan-96,05-May-16,21,12,12,1446,24,21,1446,1788,21,0,0
289,35,iso-8859-1,7,Apache/2.4.23 (Unix),M0_2319,GB,NaN,24-May-01,27-Jan-17,5,4,3,474,6,5,474,364,5,0,0
324,35,us-ascii,6,Microsoft-HTTPAPI/2.0,M0_308,America,PA,27-Jun-04,19-Nov-12,23,8,5,3087,27,29,3535,19078,29,6,0
38115,35,UTF-8,7,GSE,M0_337,America,CA,31-Jul-00,29-Jun-16,45,3,7,3507,46,49,3857,42286,49,4,0
NaN,35,UTF-8,8,Server,M0_385,America,WA,05-Jan-96,05-May-16,37,0,3,3263,42,43,3697,52720,43,6,0
NaN,35,UTF-8,9,cloudflare-nginx,M0_461,NaN,NaN,04-Mar-04,05-Oct-15,12,2,6,1258,17,16,1542,1862,16,4,0
NaN,35,ISO-8859-1,9,NaN,M0_573,America,CA,29-Mar-97,29-Nov-16,44,40,6,6945,51,56,7849,26115,56,12,0
8813,35,UTF-8,7,GSE,M0_717,America,CA,31-Jul-00,29-Jun-16,41,6,4,4769,42,45,5119,69898,45,4,0
1002,35,ISO-8859-1,8,Apache,M0_739,Austria,Austria,01-Jun-04,02-Jun-16,32,5,8,2965,39,36,3279,37146,36,4,0
16875,35,utf-8,7,Apache,M0_807,America,NY,13-Dec-95,10-Nov-16,0,0,0,0,0,0,0,0,0,0,0
NaN,35,UTF-8,8,Server,M0_82,America,WA,05-Jan-96,05-May-16,27,1,5,2771,33,31,3051,36261,31,4,0
330,35,iso-8859-1,7,Apache,M0_9,NaN,NaN,10-Nov-00,19-Feb-16,16,9,8,1275,23,18,1423,2306,18,2,0
NaN,35,utf-8,6,NaN,M0_965,America,CA,22-Feb-96,16-Jan-15,0,0,0,0,0,0,0,0,0,0,0
1002,35,ISO-8859-1,8,Apache,M0_971,Austria,Austria,01-Jun-04,02-Jun-16,0,0,0,0,0,0,0,0,0,0,0
655,36,UTF-8,10,nginx,A0_121,NaN,NaN,NaN,NaN,208,18,9,20074,216,228,21646,270752,228,20,1
655,36,UTF-8,11,nginx,A0_129,NaN,NaN,NaN,NaN,7,1,5,466,10,11,760,822,11,4,1
655,36,UTF-8,11,nginx,A0_131,NaN,NaN,NaN,NaN,17,1,7,1770,17,23,2210,2579,23,6,1
646,36,UTF-8,9,nginx,A0_133,NaN,NaN,NaN,NaN,11,1,4,1266,12,15,1554,966,15,4,1
655,36,UTF-8,11,nginx,A0_134,NaN,NaN,NaN,NaN,21,1,5,2359,23,29,2951,3542,29,8,1
655,36,UTF-8,11,nginx,A0_157,NaN,NaN,NaN,NaN,19,1,5,2227,23,27,2819,3612,27,8,1
NaN,36,ISO-8859-1,8,cloudflare-nginx,A0_169,Russia,Krasnoyarsk,22-Aug-10,28-Apr-17,6,0,4,372,10,8,520,703,8,2,1
10133,36,ISO-8859-1,8,nginx,M0_1042,America,CA,01-Jun-05,09-Sep-16,0,0,0,0,0,0,0,0,0,0,0
324,36,us-ascii,8,Microsoft-HTTPAPI/2.0,M0_1049,NaN,NaN,30-Oct-03,10-Sep-16,0,0,0,0,0,0,0,0,0,0,0
NaN,36,ISO-8859-1,7,nginx/1.12.0,M0_1277,America,Kansas,09-May-98,10-May-16,0,0,0,0,0,0,0,0,0,0,0
1108,36,ISO-8859-1,6,nginx/1.12.0,M0_1306,America,CA,05-Oct-06,04-Mar-17,0,0,0,0,0,0,0,0,0,0,0
324,36,us-ascii,7,Microsoft-HTTPAPI/2.0,M0_1359,America,DE,14-Oct-05,21-Apr-17,0,0,0,0,0,0,0,0,0,0,0
NaN,36,ISO-8859-1,7,NaN,M0_1363,America,CA,29-Mar-97,29-Nov-16,0,0,0,0,0,0,0,0,0,0,0
NaN,36,ISO-8859-1,8,nginx,M0_197,China,shandong,08-Sep-03,24-Oct-16,18,2,8,1432,27,20,1572,2113,20,2,0
NaN,36,UTF-8,8,Apache,M0_200,Japan,Osaka,13-Jul-08,09-Dec-15,14,10,6,1096,19,16,1246,1294,16,2,0
NaN,36,UTF-8,7,nginx,M0_2101,America,CA,03-Mar-00,12-Jan-17,3,3,1,366,4,3,366,244,3,0,0
NaN,36,ISO-8859-1,8,nginx/0.7.65,M0_2250,NaN,NaN,22-Aug-96,18-Aug-16,2,2,1,276,3,2,276,184,2,0,0
NaN,36,UTF-8,8,mw2260.codfw.wmnet,M0_2260,America,CA,13-Jan-01,12-Dec-15,5,3,3,498,7,5,498,438,5,0,0
NaN,36,ISO-8859-1,8,Apache/2.2.32,M0_2290,America,PA,01-May-02,01-Sep-12,5,3,2,474,5,5,474,306,5,0,0
NaN,36,us-ascii,8,cloudflare-nginx,M0_290,NaN,NaN,10-Jun-05,04-Jun-15,18,2,6,1706,19,22,1994,2165,22,4,0
19879,36,utf-8,7,Apache,M0_305,America,CA,04-Apr-06,03-Mar-17,61,7,6,6100,79,65,6388,123896,65,4,0
NaN,36,UTF-8,8,mw2239.codfw.wmnet,M0_366,America,CA,13-Jan-01,12-Dec-15,85,73,9,7506,96,91,7962,107416,91,6,0
324,36,us-ascii,7,Microsoft-HTTPAPI/2.0,M0_444,NaN,NaN,07-Sep-00,08-Dec-16,8,0,2,784,11,10,958,16959,10,2,0
NaN,36,utf-8,8,DPS/1.1.8,M0_445,NaN,NaN,31-Dec-15,25-Dec-16,22,8,4,2680,19,28,3172,7746,28,6,0
210,36,iso-8859-1,6,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,M0_474,NaN,NaN,08-Dec-07,28-Mar-17,3,0,1,466,6,5,640,668,5,2,0
3326,36,ISO-8859-1,7,cloudflare-nginx,M0_487,America,CA,06-Apr-08,18-Dec-14,14,7,5,1060,18,16,1234,5214,16,2,0
293,36,iso-8859-1,7,Apache/2.0.52 (Red Hat),M0_60,America,TX,16-Jul-98,16-May-16,12,0,4,1331,13,16,1631,4860,16,4,0
231,36,iso-8859-1,7,Apache/2.2.22,M0_69,NaN,NaN,09-Feb-01,28-Dec-16,7,0,2,730,11,9,870,1284,9,2,0
11418,36,UTF-8,7,Apache,M0_701,America,AZ,28-Dec-99,28-Dec-14,17,0,4,2319,21,21,2615,14373,21,4,0
NaN,36,ISO-8859-1,8,Apache/2.2.25 (Unix) mod_ssl/2.2.25 OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,M0_809,NaN,NaN,21-Jan-08,17-Apr-16,0,0,0,0,0,0,0,0,0,0,0
NaN,36,UTF-8,8,Apache,M0_952,United Kingdom,UK,27-Feb-96,27-Jan-16,0,0,0,0,0,0,0,0,0,0,0
11692,36,UTF-8,7,GSE,M0_990,America ,CA,31-Jul-00,29-Jun-16,0,0,0,0,0,0,0,0,0,0,0
NaN,37,UTF-8,10,Apache,A0_101,Czech Republic,PRAHA,07-Oct-06,07-Mar-17,49,0,1,3505,53,51,3657,66214,51,2,1
296,37,windows-1251,9,Apache/1.3.31 (Unix) PHP/4.3.9 mod_perl/1.29 rus/PL30.20,A0_115,America,LA,18-Dec-04,01-Dec-16,2,0,2,128,5,4,276,407,4,2,1
162,37,ISO-8859-1,9,nginx,A0_16,China,beijingshi,09-Feb-09,27-Apr-17,1,0,1,66,4,3,206,404,3,2,1
NaN,37,ISO-8859-1,11,Apache,A0_176,NaN,NaN,04-Nov-98,15-Nov-16,44,2,10,5009,50,50,5511,40316,50,6,1
NaN,37,ISO-8859-1,10,nginx,A0_179,China,liaoningsheng,04-Nov-16,08-Nov-16,12,0,2,1961,14,16,2245,2991,16,4,1
188,37,iso-8859-1,9,Apache,A0_60,NaN,NaN,NaN,NaN,19,0,6,1525,13,21,1667,1363,21,2,1
NaN,37,utf-8,7,Apache/2.2.29 (Amazon),M0_1008,Canada,British Columbia,15-Apr-04,22-Feb-16,0,0,0,0,0,0,0,0,0,0,0
6062,37,ISO-8859-1,7,Apache/2.2.13 (Unix) mod_ssl/2.2.13 OpenSSL/0.9.8e-fips-rhel5 mod_auth_passthrough/2.1 mod_bwlimited/1.4 PHP/5.2.10,M0_1167,America,California,02-Jul-10,25-Apr-17,0,0,0,0,0,0,0,0,0,0,0
219,37,iso-8859-1,7,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,M0_1196,America,Missouri,12-Nov-07,28-Mar-17,0,0,0,0,0,0,0,0,0,0,0
1002,37,ISO-8859-1,9,Apache,M0_1204,Austria,Austria,01-Jun-04,02-Jun-16,0,0,0,0,0,0,0,0,0,0,0
14109,37,utf-8,10,Apache,M0_1219,America,California,22-Feb-06,22-Jan-17,0,0,0,0,0,0,0,0,0,0,0
324,37,us-ascii,8,Microsoft-HTTPAPI/2.0,M0_1316,America,North Carolina,05-Jun-00,06-Jul-15,0,0,0,0,0,0,0,0,0,0,0
NaN,37,utf-8,9,nginx/1.1.19,M0_1398,America,CA,09-Dec-96,09-Oct-15,0,0,0,0,0,0,0,0,0,0,0
NaN,37,utf-8,8,cloudflare-nginx,M0_1402,America,California,14-Oct-99,20-Nov-13,0,0,0,0,0,0,0,0,0,0,0
8022,37,utf-8,9,Apache/2.2.22 (Ubuntu),M0_2056,America,California,10-May-06,11-May-16,23,5,8,1674,11,23,1674,696,23,0,0
32441,37,utf-8,9,nginx,M0_2093,[u'GB'; u'United Kingdom'],UK,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,11,10,7,834,14,11,834,882,11,0,0
7891,37,ISO-8859-1,7,ATS/5.3.0,M0_2116,America,MA,22-Feb-01,24-Jan-17,6,5,2,540,8,6,540,535,6,0,0
NaN,37,ISO-8859-1,8,NaN,M0_2143,America,CA,29-Mar-97,29-Nov-16,4,2,2,408,5,4,408,328,4,0,0
1840,37,UTF-8,8,Apache,M0_2230,America,CA,11-Sep-97,09-Dec-15,8,5,5,648,11,8,648,739,8,0,0
12768,37,ISO-8859-1,8,Apache/2.2.3 (Red Hat),M0_2277,NaN,NaN,16-Oct-00,25-Oct-16,6,4,3,540,6,6,540,474,6,0,0
328,32,utf-8,8,Microsoft-IIS/7.5,M0_2095,United Kingdom,Greater London,06-Sep-16,12-Mar-17,5,3,2,474,7,5,474,426,5,0,0
NaN,32,UTF-8,7,Apache,M0_218,America,Illinois,11-Feb-97,10-Sep-12,94,0,4,11902,121,102,12492,173484,102,8,0
324,32,us-ascii,8,Microsoft-HTTPAPI/2.0,M0_2229,NaN,NaN,06-Aug-95,24-Jul-12,11,10,6,798,15,11,798,1124,11,0,0
199,32,iso-8859-1,6,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16 mod_jk/1.2.40,M0_2271,America,Kansas,23-Oct-08,03-Mar-17,6,3,4,564,7,6,564,442,6,0,0
334,32,iso-8859-1,8,Apache,M0_254,Slovenia,--,19-Feb-09,22-Dec-15,8,1,4,816,13,10,958,1541,10,2,0
287,32,iso-8859-1,7,Apache/2.2.3 (CentOS),M0_303,America,MO,30-Aug-98,22-Dec-16,71,0,3,10999,70,73,11147,88707,73,2,0
20212,32,utf-8,7,Apache,M0_40,America,CA,04-Apr-06,03-Mar-17,43,26,14,4214,28,49,4650,9246,49,6,0
NaN,32,UTF-8,8,Server,M0_400,America,WA,05-Jan-96,05-May-16,36,0,2,3185,40,40,3465,50608,40,4,0
NaN,32,UTF-8,8,Server,M0_437,America,WA,05-Jan-96,05-May-16,24,2,4,1888,25,28,2168,40314,28,4,0
NaN,32,utf-8,7,NaN,M0_491,NaN,NaN,14-Dec-06,13-Dec-16,7,0,3,734,12,11,1060,7145,11,4,0
11827,32,UTF-8,7,GSE,M0_507,America,CA,31-Jul-00,29-Jun-16,38,2,5,4607,35,42,4945,58676,42,4,0
1108,32,ISO-8859-1,8,nginx/1.12.0,M0_582,America,California,22-Mar-05,22-Mar-17,13,0,2,2065,16,17,2349,7280,17,4,0
324,32,us-ascii,7,NaN,M0_937,America,Arizona,26-Jun-09,29-Mar-17,0,0,0,0,0,0,0,0,0,0,0
646,33,UTF-8,11,nginx,A0_122,NaN,NaN,NaN,NaN,13,1,5,1497,14,17,1787,2116,17,4,1
637,33,UTF-8,9,nginx,A0_125,NaN,NaN,NaN,NaN,23,1,5,2851,26,31,3431,3814,31,8,1
640,33,UTF-8,9,nginx,A0_138,NaN,NaN,NaN,NaN,18,1,5,2147,20,24,2577,2848,24,6,1
643,33,UTF-8,9,nginx,A0_142,NaN,NaN,NaN,NaN,4,0,4,264,6,4,264,388,4,0,1
NaN,33,UTF-8,9,nginx,A0_59,NaN,NaN,09-Feb-00,NaN,14,1,8,1151,15,18,1445,1211,18,4,1
NaN,33,utf-8,11,nginx,A0_96,NaN,NaN,08-Jun-07,18-Sep-12,8,0,2,1045,11,12,1333,1362,12,4,1
NaN,33,utf-8,7,cloudflare-nginx,M0_1068,America,NY,01-Nov-94,27-Oct-15,0,0,0,0,0,0,0,0,0,0,0
NaN,33,UTF-8,8,Server,M0_1101,America,WA,05-Jan-96,05-May-16,0,0,0,0,0,0,0,0,0,0,0
NaN,33,UTF-8,8,Server,M0_1141,America,WA,05-Jan-96,05-May-16,0,0,0,0,0,0,0,0,0,0,0
NaN,33,utf-8,6,NaN,M0_1190,America,CA,22-Feb-96,16-Jan-15,0,0,0,0,0,0,0,0,0,0,0
NaN,33,iso-8859-1,6,Apache,M0_1239,Japan,Fukuoka,08-Aug-13,26-Jul-16,0,0,0,0,0,0,0,0,0,0,0
19890,33,utf-8,6,Apache/2.4,M0_1288,Canada,BC,20-Apr-00,25-Apr-17,0,0,0,0,0,0,0,0,0,0,0
NaN,37,UTF-8,7,openresty,M0_361,America,NY,08-Jun-06,21-Apr-17,4,0,3,268,6,6,444,557,6,2,0
NaN,37,iso-8859-1,9,Apache,M0_386,NaN,NaN,NaN,NaN,31,7,12,2531,35,37,3005,14050,37,6,0
NaN,37,utf-8,7,NaN,M0_450,America,CA,22-Feb-96,16-Jan-15,27,23,1,3355,35,33,3781,31623,33,6,0
NaN,37,UTF-8,8,nginx,M0_457,America,Arizona,18-Apr-01,19-Apr-17,44,0,4,3767,48,48,4079,129181,48,4,0
4297,37,ISO-8859-1,8,nginx,M0_476,America,OH,05-Aug-93,01-Jul-16,16,1,6,1607,18,22,2055,1690,22,6,0
NaN,37,UTF-8,9,nginx,M0_59,Philippines,Manila,17-Feb-11,18-Feb-17,15,6,7,1283,15,17,1425,2201,17,2,0
NaN,37,ISO-8859-1,9,NaN,M0_593,America,CA,24-Oct-99,29-Jul-16,21,0,4,1643,31,23,1797,21144,23,2,0
135444,37,utf-8,8,nginx/1.4.3,M0_646,America,NY,02-Nov-96,26-Nov-14,68,6,7,5207,88,70,5345,247488,70,2,0
616,37,utf-8,9,ATS,M0_677,America,CA,18-Jan-95,26-Aug-15,18,5,10,2248,28,26,2890,3605,26,8,0
6944,37,utf-8,8,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 PHP/5.4.35,M0_777,America,Arizona,14-Feb-00,14-Feb-16,0,0,0,0,0,0,0,0,0,0,0
1819,37,ISO-8859-1,8,NaN,M0_946,America,CA,02-Nov-02,02-Feb-17,0,0,0,0,0,0,0,0,0,0,0
7783,37,UTF-8,7,GSE,M0_947,America,CA,31-Jul-00,29-Jun-16,0,0,0,0,0,0,0,0,0,0,0
337,38,iso-8859-1,10,Apache/2,A0_120,Canada,ON,14-Sep-09,06-Sep-16,14,4,6,888,5,14,888,316,14,0,1
661,38,UTF-8,11,nginx,A0_151,NaN,NaN,NaN,NaN,22,1,5,2813,27,30,3409,3916,30,8,1
